iter	Passed	Remaining
0	134	134389
1	136	67990
2	137	45760
3	138	34567
4	140	27894
5	141	23409
6	143	20373
7	145	18031
8	146	16183
9	148	14676
10	152	13697
11	154	12707
12	155	11809
13	157	11074
14	158	10410
15	159	9797
16	160	9255
17	160	8773
18	161	8337
19	162	7944
20	162	7592
21	163	7276
22	164	6998
23	165	6732
24	166	6490
25	167	6262
26	167	6047
27	168	5863
28	169	5679
29	170	5505
30	171	5352
31	171	5200
32	172	5057
33	173	4922
34	173	4793
35	174	4674
36	175	4567
37	176	4460
38	176	4357
39	177	4263
40	178	4172
41	179	4087
42	180	4009
43	180	3931
44	182	3865
45	182	3794
46	183	3725
47	184	3659
48	185	3593
49	185	3530
50	186	3470
51	187	3411
52	188	3360
53	188	3306
54	189	3254
55	190	3207
56	190	3158
57	191	3112
58	192	3067
59	193	3024
60	193	2983
61	195	2952
62	195	2912
63	196	2879
64	197	2844
65	198	2808
66	199	2774
67	200	2741
68	201	2713
69	201	2681
70	202	2649
71	203	2621
72	204	2592
73	204	2564
74	205	2536
75	206	2510
76	207	2489
77	208	2462
78	209	2439
79	210	2418
80	211	2397
81	212	2374
82	212	2347
83	214	2333
84	215	2317
85	216	2298
86	217	2280
87	218	2259
88	218	2239
89	220	2224
90	220	2204
91	221	2185
92	222	2166
93	222	2148
94	223	2129
95	224	2114
96	225	2098
97	226	2085
98	227	2069
99	228	2056
100	229	2040
101	230	2025
102	230	2010
103	231	1994
104	232	1981
105	233	1969
106	234	1957
107	235	1945
108	236	1932
109	237	1918
110	237	1904
111	238	1891
112	239	1880
113	240	1868
114	241	1858
115	242	1846
116	242	1833
117	243	1821
118	244	1810
119	245	1798
120	246	1787
121	246	1775
122	247	1766
123	248	1755
124	249	1748
125	250	1738
126	251	1728
127	252	1723
128	253	1713
129	254	1706
130	255	1697
131	256	1688
132	257	1679
133	259	1674
134	260	1666
135	261	1659
136	262	1651
137	263	1644
138	264	1636
139	264	1627
140	266	1620
141	266	1611
142	267	1603
143	268	1595
144	269	1586
145	270	1579
146	270	1572
147	271	1564
148	272	1556
149	273	1551
150	274	1544
151	275	1536
152	276	1529
153	276	1521
154	277	1514
155	279	1512
156	280	1507
157	281	1500
158	282	1494
159	283	1487
160	284	1482
161	285	1477
162	286	1472
163	287	1466
164	288	1460
165	289	1454
166	290	1448
167	291	1441
168	291	1435
169	292	1430
170	294	1425
171	295	1422
172	296	1418
173	297	1412
174	298	1406
